Diameter,Material,Sample,Pressure,Dt1,Dt2,Dt3,Full dt,Gyro speed,Amplitude,Omega,Zeta
16,60,1,-50,0.02679,0.03275,0.02975,0.08929,2601,-1.273260693,13.98575806,0.049742007
16,60,1,-50,0.02978,0.03272,0.02978,0.09228,3153,-1.21990892,14.67531599,0.058348642
16,60,1,-50,0.02679,0.02976,0.02975,0.0863,2980,-1.323215399,14.54441944,0.061498245
16,60,1,0,0.02674,0.02978,0.0238,0.08032,3272,-1.127964666,20.63005928,0.133710489
16,60,1,0,0.02374,0.02972,0.02381,0.07727,2424,-1.140938511,20.63269152,0.133502631
16,60,1,0,0.0238,0.02673,0.02686,0.07739,3578,-1.028841242,20.52805583,0.126435501
16,60,1,50,0.01794,0.02075,0.01795,0.05664,1579,-0.830471072,30.39828024,0.048345603
16,60,1,50,0.01783,0.02087,0.01794,0.05664,2717,-0.816846729,30.53185368,0.046173858
16,60,1,50,0.021,0.02075,0.01807,0.05982,1742,-0.83397236,30.30364821,0.048786419
16,60,1,75,0.01782,0.01782,0.01807,0.05371,2945,-0.946654683,30.98797527,0.044788636
16,60,1,75,0.01514,0.02075,0.0149,0.05079,1436,-0.948950541,31.09576635,0.043232266
16,60,1,75,0.01489,0.02076,0.01464,0.05029,1987,-0.985137137,30.86209856,0.045940516
16,60,1,100,0.01488,0.01786,0.01488,0.04762,2514,-1.017825698,31.32037774,0.042901226
16,60,1,100,0.01785,0.01785,0.01489,0.05059,2464,-1.032389014,31.21474907,0.04365783
16,60,1,100,0.01488,0.01787,0.01488,0.04763,1804,-1.053784381,31.24753402,0.043684921
16,60,1,125,0.01502,0.01782,0.01477,0.04761,2830,-1.084381254,31.52300673,0.042820002
16,60,1,125,0.01785,0.01785,0.01787,0.05357,1218,-0.978277085,32.83798436,0.042745534
16,60,1,125,0.01489,0.0177,0.01502,0.04761,1962,-1.09582708,31.49438896,0.042701285
16,60,1,150,0.01477,0.01782,0.01501,0.0476,1366,-1.162550033,31.50024231,0.044465663
16,60,1,150,0.01489,0.01782,0.01196,0.04467,1354,-1.152054886,31.45878012,0.044115715
16,60,1,150,0.01489,0.01489,0.01489,0.04467,1293,-1.155922939,31.43311473,0.044068669
16,70,1,-50,0.02081,0.03865,0.0327,0.09216,1594,-0.832853448,17.83198709,0.058780512
16,70,1,-50,0.01486,0.03864,0.03256,0.08606,3759,-0.949552728,17.22252857,0.080346434
16,70,1,-50,0.04468,0.06543,0.04467,0.15478,1175,0.527409031,16.72964015,0.034833747
16,70,1,0,0.01783,0.02685,0.02081,0.06549,1591,-0.871131466,27.61512089,0.108070711
16,70,1,0,0.01788,0.02381,0.0238,0.06549,1550,-0.935757382,26.1281038,0.109329263
16,70,1,0,0.01783,0.02679,0.02381,0.06843,1226,-0.969096552,25.50758415,0.10797225
16,70,1,50,0.01489,0.02088,0.02087,0.05664,3081,-0.866621637,33.9857106,0.074472044
16,70,1,50,0.01489,0.021,0.02075,0.05664,2884,-0.922280132,32.38217402,0.086649493
16,70,1,50,0.0149,0.02087,0.0177,0.05347,1341,-0.804307539,34.38642056,0.067446062
16,70,1,75,0.01184,0.0238,0.01196,0.0476,1385,-0.896162654,36.35914931,0.057112226
16,70,1,75,0.01196,0.02075,0.0149,0.04761,1332,-0.83535974,36.56365906,0.053048037
16,70,1,75,0.01782,0.01789,0.02075,0.05646,1310,-0.821603066,36.4889696,0.051786115
16,70,1,100,0.01197,0.02087,0.01477,0.04761,1543,-0.908892887,37.53031152,0.048650358
16,70,1,100,0.01489,0.01782,0.01514,0.04785,1522,-0.848568379,37.7087196,0.044571552
16,70,1,100,0.01197,0.02099,0.01172,0.04468,1148,-0.88758116,37.47612886,0.047235719
16,70,1,125,0.01483,0.01794,0.01483,0.0476,1797,-0.95931295,37.85070179,0.047612033
16,70,1,125,0.01172,0.01807,0.01465,0.04444,1809,-0.958450239,38.01565525,0.045834153
16,70,1,125,0.01489,0.01489,0.01514,0.04492,1361,-0.934149728,38.19468362,0.043810548
16,70,1,150,0.01172,0.01807,0.01172,0.04151,2030,-0.952409185,38.33855395,0.043392041
16,70,1,150,0.01489,0.01514,0.01464,0.04467,2218,-0.947339222,38.47084185,0.043180772
16,70,1,150,0.01196,0.0149,0.01489,0.04175,1523,-0.942650644,38.37929086,0.043444787
16,82,1,-50,0.02381,0.02976,0.02678,0.08035,1022,-1.007005921,21.86129548,0.068401985
16,82,1,-50,0.02381,0.02976,0.0238,0.07737,1073,-1.015329208,21.51121162,0.066186817
16,82,1,-50,0.0238,0.02976,0.02383,0.07739,1174,-1.016680413,21.36835441,0.065859522
16,82,1,0,0.02082,0.0238,0.01788,0.0625,803,-0.628517377,45.87204721,0.108349869
16,82,1,0,0.02085,0.0238,0.01785,0.0625,1293,-0.723356607,44.2393323,0.124189611
16,82,1,0,0.01788,0.02381,0.01785,0.05954,1343,-0.683943073,44.42646293,0.119909006
16,82,1,50,0.01782,0.01789,0.01782,0.05353,1423,-0.678275128,51.16454258,0.085552078
16,82,1,50,0.01782,0.02087,0.0149,0.05359,1295,-0.629508522,51.16279257,0.082416359
16,82,1,50,0.01483,0.02087,0.01483,0.05053,1298,-0.666990176,51.4158102,0.082817236
16,82,1,75,0.0149,0.01794,0.02087,0.05371,896,,39.55830327,0
